"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Location Sales Volume Actual"
"Calumet Bakery","","Kerri","Moore","18349 Torrence Ave","Lansing","IL","60438","","Verified","$607,000"
"Calumet Bakery Shop","","Kerry","Moore","2510 E 106th St","Chicago","IL","60617","","Verified","$607,000"
"Carolyn & Co Cafe & Bakery","","Caroline","Thomas","708 N Monroe St","Abingdon","IL","61410","","Verified","$643,000"
"Charro Tacos & Bakery Corp","","Fernando","Lopez","2404 S Laramie Ave","Cicero","IL","60804","CHARRO TACOS & BAKERY CORP","Unverified","$596,000"
"Chiu Quon Bakery & Dim Sum","","Pui","Chiu","2253 S Wentworth Ave","Chicago","IL","60616","","Verified","$607,000"
"Cookie Factory Bakery","","Karen","Shaw","2501 Wabash Ave # 151","Springfield","IL","62704","","Unverified","$535,000"
"Cookie Factory Bakery & Cafe","","Linda","Mccormick","202 Alton Sq","Alton","IL","62002","","Verified","$651,000"
"Coral's Bakery","","Maria","Terriquez","3807 W 26th St","Chicago","IL","60623","","Verified","$607,000"
"Corner Bakery Cafe","SSCP MANAGEMENT INC","Michelle","Rushing","140 S Dearborn St","Chicago","IL","60603","","Verified","$596,000"
"Corner Bakery Pizzahhh","","Tom","Tasi","275 Old Orchard Shopping Ctr","Skokie","IL","60077","","Unverified","$596,000"
"Cottage Bakery Ralcorp Frozen","","","","3250 Lacey Rd # 600","Downers Grove","IL","60515","","Unverified","$687,000"
"Courtyard Cafe & Bakery","","Patty","Ruble","128 E Adams St","Pittsfield","IL","62363","","Verified","$658,000"
"Creative Cakes BAKERY","","Elizabeth","Fahey","16649 Oak Park Ave # F","Tinley Park","IL","60477","CREATIVE CAKES LLC","Verified","$607,000"
"D'Amato's Bakery & Subs","","Christine","Damato","1124 W Grand Ave","Chicago","IL","60642","","Verified","$728,000"
"Danner's Fremont House Bakery","","Cresento","Sanchez","260 E Fremont St","Galesburg","IL","61401","DANNER'S FREMONT HOUSE BAKERY INC","Unverified","$662,000"
